1,5220000,Gachapon Ticket,10,-1
2,2022456,Elixir,200,-1
3,2022457,Power Elixir,200,-1
4,5211048,4 Hour 2x EXP Card,1,7200000
5,5360042,4 Hour 2x DROP Card,1,7200000
6,2049100,Chaos Scroll 60%,5,-1
7,5073000,Heart Megaphone, 5, -1
8,5220000,Gachapon Ticket,10,-1
9,5211048,4 Hour 2x EXP Card,1,7200000
10,5360042,4 Hour 2x DROP Card,1,7200000
11,2022179,Onyx Apple,1,-1
12,2022273,Cheese,1,-1
13,5220000,Gachapon Ticket,10,-1
14,5211048,4 Hour 2x EXP Card,1,7200000
15,5360042,4 Hour 2x DROP Card,1,7200000
16,2022179,Onyx Apple,1,-1
17,2022273,Cheese,1,-1
18,2340000,White Scroll,1,-1
19,5010069,Seraphim's Dark Wings,1,-1
20,2010000,Special Gachapon Ticket Placeholder,1,-1
